"","donor1_macrophage_disease","donor2_macrophage_disease","donor3_macrophage_disease","donor4_macrophage_disease","donor5_macrophage_disease","donor6_epithelial_disease","donor7_epithelial_disease","donor8_epithelial_disease","donor9_epithelial_disease","donor10_epithelial_disease","donor11_macrophage_control","donor12_macrophage_control","donor13_macrophage_control","donor14_macrophage_control","donor15_macrophage_control","donor16_epithelial_control","donor17_epithelial_control","donor18_epithelial_control","donor19_epithelial_control","donor20_epithelial_control"
"CYCS",6.4508,6.5815,4.9931,5.169,8.6226,6.2326,7.3885,4.1372,5.6562,6.3601,5.0427,5.4729,5.1848,5.2289,5.5687,7.3769,4.9933,6.9503,7.0206,7.4384
"APAF1",3.091,4.8202,5.4891,3.8318,7.1073,6.5834,5.7236,3.7969,3.7192,5.5691,5.7092,5.4556,4.9533,4.957,4.6253,5.7074,6.3437,3.9953,4.504,4.3178
"XIAP",6.608,5.7113,4.9194,4.5649,8.1822,6.8998,4.5667,6.4079,6.0046,6.0542,5.33,5.4429,6.3651,5.3707,5.931,6.1557,7.1981,6.569,5.2668,6.9052
"BIRC5",6.2888,7.1507,4.8183,4.359,6.0676,6.6515,6.2445,5.8802,4.8336,5.8397,6.324,5.61,6.8379,6.0948,6.3099,8.1182,6.7273,6.0355,5.3119,7.4122
"DIABLO",7.3511,7.2984,7.339,7.3237,8.947,8.9241,7.3924,6.2974,7.224,8.5643,7.9397,8.8004,7.5911,7.0127,7.0993,10.9239,7.4648,11.4191,7.4222,8.6556
"VEGFA",9.7029,9.23,8.9195,9.3489,13.2085,9.1525,8.3574,7.0271,9.2925,9.4344,9.4403,9.5532,12.0634,8.8473,9.0252,11.2902,10.8169,9.7739,10.5257,10.4753
"FLT1",5.0062,5.09,5.2743,5.9932,7.1954,7.5804,6.4575,3.0738,5.7556,6.193,4.7181,6.1455,6.0872,6.2718,5.6637,7.5596,7.1077,6.1785,5.1485,6.6211
"KDR",2.0917,2.1402,0.772,0.8427,2.4936,0.4047,0,2.5884,0.2272,1.358,0,1.7768,0.3838,1.6021,0,1.2045,1.1546,1.8714,0.1625,0.4619
"HIF1A",8.4471,8.1204,8.3397,8.1458,10.6671,8.5502,9.9141,8.0871,6.9985,9.109,6.6321,10.4623,8.0525,6.8761,8.1093,9.4136,9.2374,8.0297,7.0782,9.3712
"EPAS1",4.5147,5.0848,6.3492,4.317,7.2864,4.744,5.6809,4.4586,5.1798,5.1168,4.4909,6.296,7.1844,5.8176,6.5224,7.4689,7.4876,6.605,6.7017,6.4588
"EGLN1",3.1527,2.4754,1.1593,1.3357,3.6725,1.5611,1.4334,0.7014,0.777,1.6603,1.266,2.8199,3.5403,1.7979,1.1733,2.3871,3.0104,0.3725,1.2078,2.4353
"VHL",4.1165,1.8221,2.8762,2.8423,2.5902,4.7036,2.1416,3.773,2.7254,3.5318,3.6182,4.0063,2.3686,1.786,2.3629,3.3394,2.8404,3.3878,1.927,3.0854
"ARNT",6.3626,5.6133,4.2236,4.2644,6.3158,6.4763,4.6456,5.6202,5.1898,6.8662,5.2314,6.7802,6.5084,4.7012,6.8277,5.7125,7.6949,7.8363,5.9264,6.3998
"NOS3",9.0929,7.49,9.6064,9.0891,10.4063,9.5788,10.1066,7.6998,10.2028,9.8419,7.8238,10.0472,11.4493,8.9544,9.1351,11.2499,10.0344,11.1689,8.6245,10.1255
"EDN1",7.3312,6.4271,6.632,5.4608,6.7101,7.1711,5.0932,5.3176,4.6594,6.2338,5.4387,6.5529,6.6412,6.0821,5.7059,6.7369,5.8736,7.6329,7.1352,7.3915
"HMOX1",6.196,6.3738,5.9056,5.6372,7.528,6.4853,7.2039,6.8568,6.0097,7.3616,6.8799,7.5297,7.219,6.1946,5.7566,7.1554,6.8843,6.3934,6.2563,6.6968
"SOD1",2.5126,2.5808,3.2068,1.908,4.6566,3.374,2.0114,3.0552,1.6319,3.1533,2.9447,3.3869,2.0818,2.527,3.2836,4.7633,3.5776,3.2817,3.5248,3.8094
"SOD2",8.0265,5.5438,8.7886,6.338,7.112,7.0631,7.5463,5.189,5.7289,8.0429,6.0402,7.6142,7.5893,6.1349,6.6218,7.0002,8.1612,5.2805,6.4504,6.6848
"CAT",1.6722,0.6518,0.9877,1.0682,1.4221,0,1.5216,0.9755,1.8993,2.5898,0.435,0,2.4731,1.65,1.1195,0.5452,1.9406,0.9726,0,1.2052
"GPX1",1.8819,2.6176,1.2545,1.707,3.3459,2.752,1.7124,1.9807,0.313,1.6675,1.5334,2.3423,3.2312,2.0339,1.219,0,2.5507,1.2636,1.727,1.6957
"PRDX1",7.1609,7.2869,9.1462,5.6623,6.4014,7.1958,5.5504,6.578,7.3917,8.2859,6.4242,7.079,6.8571,5.1986,7.0203,7.3876,7.6382,7.6792,5.1732,9.847
"TXN",1.8791,2.1956,2.2899,1.0733,2.7335,1.5706,0.5185,2.0404,1.2656,2.182,1.694,1.8184,2.3887,0.567,2.1158,1.3563,2.0012,1.417,1.3383,1.8424
"TXNRD1",10.5574,9.6377,10.0724,8.4424,10.2039,9.077,11.7399,7.9794,9.4218,10.4417,10.2027,9.4294,12.0228,9.275,8.6986,12.3001,10.2413,9.3774,7.4001,9.54
"NFE2L2",11.4224,10.3238,11.7414,10.0356,13.2512,12.1498,12.0943,9.4068,8.8139,11.0394,10.4779,12.6146,12.0104,8.9429,9.287,11.8781,11.3291,11.5645,10.4448,10.9281
"KEAP1",9.3576,8.0994,11.1858,9.4952,12.0089,9.3964,10.1503,9.8332,9.7241,9.4899,10.0103,11.6955,10.0396,8.3171,9.5131,12.6845,12.0184,10.8424,10.6112,10.1691
"NQO1",4.7953,4.0539,4.6219,6.7477,6.8365,6.2568,6.6189,3.7687,6.0276,5.9572,6.1083,6.4327,6.9439,5.4445,5.1376,8.3196,4.6943,6.2201,5.3723,6.9538
"GSTM1",2.2455,1.0213,2.0552,1.9018,1.6244,2.367,0.5736,0.4425,0.3397,0.9747,0.7115,1.298,0.5272,1.3404,2.3749,1.4608,2.8879,1.5613,1.7512,0.4744
"GSTP1",0.634,1.7329,0.3154,0.2053,0,2.0809,1.2653,1.6331,1.398,1.2878,0.3515,0,1.0808,0.7726,0.7018,0.8321,0.525,0.9389,0.7275,0.2644
"CYP1A1",2.2658,2.7394,2.1036,1.7199,2.0181,3.4594,1.8903,3.4045,2.0812,1.6251,2.6507,2.7372,3.6336,1.6804,1.1919,2.435,2.3767,1.7584,3.4369,3.5523
"AHR",11.7887,9.1967,9.7815,10.7147,11.1142,11.7702,9.9856,9.9584,10.587,11.6622,8.8478,11.9816,11.1189,9.0334,9.2409,13.1607,11.9144,10.1019,8.7157,11.0207
"ARNT2",6.7902,7.4245,5.8725,7.003,10.0173,8.3664,8.0531,7.4062,6.7395,8.855,6.765,8.2359,8.0244,7.2771,7.5041,8.95,7.4975,8.0434,5.535,8.729
"HSP90AB1",7.1055,6.2912,7.1601,6.8488,7.2423,6.5847,7.2334,5.8528,6.1557,7.6231,6.2475,7.6969,6.214,6.0501,8.174,6.6749,7.6369,7.0175,6.5124,7.4976
"HSPA1A",8.8367,9.1103,9.3325,9.6183,11.2811,9.5196,9.8414,8.621,8.7177,10.5449,9.0222,12.5552,11.2282,9.2553,9.8117,11.5948,10.8713,11.7528,10.1686,10.9626
"HSPA5",0,1.747,2.4434,2.0235,0.9745,1.6057,0.9708,2.0547,1.6226,0.9312,2.3845,0.5731,2.6898,0.6918,0.7479,2.0597,1.6806,1.7528,0.3858,1.9513
"DDIT3",11.1919,8.9286,10.1027,8.5631,10.9806,10.4611,10.7452,7.3041,9.6523,9.4964,10.5052,10.9397,10.3471,9.1321,9.4871,9.8234,9.8912,9.0473,9.2209,10.2939
"ATF4",2.2542,2.9042,1.1633,1.676,1.4268,2.0021,4.1863,3.5002,3.0396,2.4611,2.2775,4.3936,4.3397,2.5895,2.0624,3.7229,3.5707,2.6627,2.6371,3.9215
"ATF6",6.6937,7.4489,6.7234,7.146,9.3552,8.4165,7.7149,6.3037,6.0789,6.5924,7.6127,6.9925,7.8949,7.8532,8.0579,9.6981,8.7131,7.6736,6.2718,9.6507
"XBP1",1.6067,1.5173,2.9948,2.3655,2.8469,1.5984,0.9319,2.6314,2.6487,0.827,1.1349,3.0111,2.2656,1.4105,1.3718,1.879,1.5612,2.8834,1.6915,1.0497
"ERN1",1.7855,0.3771,0.2609,0.9301,2.0267,1.0162,0.5931,0.3649,0.275,1.8136,0.3017,0,0.4835,1.3085,0,0.5848,0.4987,0.6548,0.0548,2.1948
"EIF2S1",1.4933,0.3691,0,2.0291,0.8476,0.9403,1.4249,2.0573,1.0062,0.4231,0.551,1.4253,1.489,0.1449,0.584,0,1.6087,1.8032,0.6699,0
"PPP1R15A",8.4302,7.8447,10.5735,7.4114,9.9422,8.0724,7.2692,6.8984,8.3454,8.8236,8.4665,8.9716,9.4174,7.6524,7.5796,8.8641,9.1695,9.3546,7.7093,9.1945
"GADD45A",5.4705,6.0653,6.6584,4.8674,5.9927,5.0186,5.8076,5.0463,5.9381,5.0382,6.1213,5.9677,6.8801,4.974,6.2386,8.2586,5.1127,5.4939,5.4379,8.6472
"GADD45B",11.1386,8.668,8.9708,8.7592,11.1642,9.5849,10.4258,8.3703,8.1232,10.3906,9.1578,8.6864,9.4022,9.2004,9.6634,10.7508,9.9396,11.3081,8.9699,9.855
"BRCA1",9.9941,9.5223,12.4734,9.5879,12.4396,10.131,12.5443,8.7667,10.0904,10.4973,9.7213,13.5651,12.8111,10.1839,10.7303,12.3545,10.0552,11.3041,10.6098,11.4286
"BRCA2",9.0991,7.9155,9.5833,8.0798,10.1514,7.6816,7.1817,7.0059,7.0481,9.5086,7.9353,8.7585,7.9702,7.1992,8.5019,7.8863,9.2492,9.8359,7.9897,9.7265
"RAD51",1.4241,0.733,2.0355,1.1021,2.8138,2.4183,1.3149,2.5029,1.3282,0.2352,1.8339,1.0643,1.9757,1.4311,1.0403,2.6662,1.8602,2.1911,1.7677,0.7457
"ATM",8.3918,7.4918,7.007,7.0172,8.4458,10.0441,8.6262,5.9797,8.9379,7.1889,8.7705,10.7152,7.5769,7.9124,7.5296,9.7344,8.5516,9.5831,8.854,8.5761
"ATR",11.0327,8.5985,9.127,7.5188,11.2094,10.5017,9.9935,7.5409,9.5135,9.0752,8.8355,11.0924,11.1065,9.1309,9.1991,10.9464,10.3395,10.6952,7.8557,10.1474
"CHEK1",10.3972,9.9901,9.1396,7.2035,11.8818,8.7917,9.1078,7.7636,8.3121,8.1599,8.8066,9.5638,9.2139,9.1416,8.9431,9.5953,9.1778,8.7442,8.7264,9.9734
"CHEK2",5.3651,4.8342,5.5482,4.8924,6.6706,6.7261,5.8739,6.6745,4.7973,7.4338,6.3877,7.4507,7.0215,5.5095,5.8535,5.9574,7.4043,7.4722,7.081,5.4121
"CDC25A",6.8298,7.4809,6.2311,4.7031,8.6648,7.5073,7.9116,6.5834,7.6914,7.574,6.0316,7.651,8.6945,6.0201,6.7038,6.3438,7.9471,8.3245,6.5878,7.3426
"PLK1",7.6811,7.2595,6.2271,6.7589,7.9351,7.3646,7.5284,5.4107,6.9267,6.805,5.643,6.9944,9.141,8.434,7.3615,7.72,5.9529,6.5992,6.129,8.1756
"AURKA",2.0979,1.8474,0,2.3961,2.2221,2.0611,2.094,1.9373,0.8889,1.5368,2.535,1.8468,1.9232,1.2006,2.5917,1.339,3.194,1.3084,1.7386,2.3469
"BUB1",2.5307,3.0376,3.9891,1.8297,3.8247,1.9469,3.0196,2.6587,3.2182,2.8425,3.3898,2.8571,3.6456,2.8035,3.3591,3.2329,3.9003,4.0494,1.9043,2.7622
